CoralID,Tank,Treatment,Donor.Frag
Exp1_C52_15-350,52,Control,B
Exp1_C52_1-OF-2,52,Control,B
Exp1_C52_F7,52,Control,B
Exp1_C52_OF232,52,Control,B
Exp1_C52_OF3,52,Control,B
Exp1_C53_OF373,53,Control,C
Exp1_C53_OF393,53,Control,C
Exp1_C53_OF416,53,Control,C
Exp1_C53_OF628,53,Control,C
Exp1_C53_OF677,53,Control,C
Exp1_C54_15-155,54,Control,B
Exp1_C54_OF679,54,Control,B
Exp1_C54_OF684,54,Control,B
Exp1_C54_S564,54,Control,B
Exp1_C54_S630,54,Control,B
Exp1_C55_15-10,55,Control,A
Exp1_C55_15-111,55,Control,A
Exp1_C55_15-71,55,Control,A
Exp1_C55_OF61,55,Control,A
Exp1_C55_S575,55,Control,A
Exp1_C56_OF2,56,Control,A
Exp1_C56_OF331,56,Control,A
Exp1_C56_OF566,56,Control,A
Exp1_C56_OF696,56,Control,A
Exp1_C56_OF76,56,Control,A
Exp1_C57_OF132,57,Control,C
Exp1_C57_OF32,57,Control,C
Exp1_C57_OF649,57,Control,C
Exp1_C57_OF700,57,Control,C
Exp1_C57_S335,57,Control,C
Exp1_C58_15-431,58,Control,C
Exp1_C58_OF5,58,Control,C
Exp1_C58_OF569,58,Control,C
Exp1_C58_OF758,58,Control,C
Exp1_C58_S509,58,Control,C
Exp1_C59_OF22,59,Control,A
Exp1_C59_OF554,59,Control,A
Exp1_C59_OF654,59,Control,A
Exp1_C59_OF701,59,Control,A
Exp1_C59_OF733,59,Control,A
Exp1_C59_OF759,59,Control,A
Exp1_C62_OF202,62,Control,B
Exp1_C62_OF21,62,Control,B
Exp1_C62_OF58,62,Control,B
Exp1_C62_OF680,62,Control,B
Exp1_C62_OF685,62,Control,B
Exp1_C64_OF125,64,Control,C
Exp1_C64_OF263,64,Control,C
Exp1_C64_OF453,64,Control,C
Exp1_C64_OF626,64,Control,C
Exp1_C64_OF655,64,Control,C
Exp1_C65_OF126,65,Control,A
Exp1_C65_OF423,65,Control,A
Exp1_C65_OF592,65,Control,A
Exp1_C65_OF608,65,Control,A
Exp1_C65_OF656,65,Control,A
Exp1_C66_OF1,66,Control,B
Exp1_C66_OF354,66,Control,B
Exp1_C66_OF393,66,Control,B
Exp1_C66_OF434,66,Control,B
Exp1_C66_OF687,66,Control,B
Exp1_C67_1-OF-4,67,Control,C
Exp1_C67_OF23,67,Control,C
Exp1_C67_OF602,67,Control,C
Exp1_C67_OF662,67,Control,C
Exp1_C67_S31,67,Control,C
Exp1_C68_15-358,68,Control,B
Exp1_C68_OF75,68,Control,B
Exp1_C68_OF755,68,Control,B
Exp1_C68_OF793,68,Control,B
Exp1_C68_OF8,68,Control,B
Exp1_C69_OF11,69,Control,A
Exp1_C69_OF483,69,Control,A
Exp1_C69_OF559,69,Control,A
Exp1_C69_OF693,69,Control,A
Exp1_C69_S227,69,Control,A
Exp2_C51_GB 24,51,Control,A
Exp2_C51_GB 27,51,Control,A
Exp2_C51_GB 28,51,Control,A
Exp2_C51_S 378,51,Control,A
Exp2_C51_UK 25,51,Control,A
Exp2_C52_AE 10,52,Control,C
Exp2_C52_GB 26,52,Control,C
Exp2_C52_GB 29,52,Control,C
Exp2_C52_OF 662,52,Control,C
Exp2_C52_S 503,52,Control,C
Exp2_C53_GB 23,53,Control,B
Exp2_C53_GB 25,53,Control,B
Exp2_C53_OF 1,53,Control,B
Exp2_C53_OF 656,53,Control,B
Exp2_C54_GB 12,54,Control,A
Exp2_C54_GB 20,54,Control,A
Exp2_C54_GB 22,54,Control,A
Exp2_C54_OF 11,54,Control,A
Exp2_C54_OF 23,54,Control,A
Exp2_C55_GB 1,55,Control,C
Exp2_C55_GB 17,55,Control,C
Exp2_C55_GB 21,55,Control,C
Exp2_C55_OF 700,55,Control,C
Exp2_C55_S 331,55,Control,C
Exp2_C56_15 353,56,Control,C
Exp2_C56_AE 5,56,Control,C
Exp2_C56_GB 14,56,Control,C
Exp2_C56_GB 19,56,Control,C
Exp2_C56_OF 32,56,Control,C
Exp2_C57_15 431,57,Control,A
Exp2_C57_GB 16,57,Control,A
Exp2_C57_GB 5,57,Control,A
Exp2_C57_OF 100,57,Control,A
Exp2_C57_UK 36,57,Control,A
Exp2_C58_15 349,58,Control,B
Exp2_C58_GB 31,58,Control,B
Exp2_C58_GB 4,58,Control,B
Exp2_C58_OF 602,58,Control,B
Exp2_C58_S 509,58,Control,B
Exp2_C59_GB 13,59,Control,C
Exp2_C59_GB 9,59,Control,C
Exp2_C59_OF 3,59,Control,C
Exp2_C59_OF 98,59,Control,C
Exp2_C59_S 575,59,Control,C
Exp2_C60_OF 132,60,Control,B
Exp3_C51_GB1,51,Control,B
Exp3_C51_GB15,51,Control,B
Exp3_C51_M2,51,Control,B
Exp3_C51_M31,51,Control,B
Exp3_C52_GB2,52,Control,A
Exp3_C52_M3,52,Control,A
Exp3_C52_M34,52,Control,A
Exp3_C52_OF443,52,Control,A
Exp3_C52_OF5,52,Control,A
Exp3_C53_M21,53,Control,B
Exp3_C53_M6,53,Control,B
Exp3_C53_OF657,53,Control,B
Exp3_C53_OF75,53,Control,B
Exp3_C53_S439,53,Control,B
Exp3_C54_15-353,54,Control,C
Exp3_C54_M10,54,Control,C
Exp3_C54_M24,54,Control,C
Exp3_C54_OF21,54,Control,C
Exp3_C54_OF8,54,Control,C
Exp3_C55_M23,55,Control,B
Exp3_C55_M9,55,Control,B
Exp3_C55_OF99,55,Control,B
Exp3_C55_S373,55,Control,B
Exp3_C55_S59,55,Control,B
Exp3_C56_15-358,56,Control,B
Exp3_C56_GB3,56,Control,B
Exp3_C56_M5,56,Control,B
Exp3_C56_OF23,56,Control,B
Exp3_C56_S378,56,Control,B
Exp3_C57_15-349,57,Control,C
Exp3_C57_M36,57,Control,C
Exp3_C57_M7,57,Control,C
Exp3_C57_OF3,57,Control,C
Exp3_C57_OF680,57,Control,C
Exp3_C58_M11,58,Control,A
Exp3_C58_S503,58,Control,A
Exp3_C58_UK25,58,Control,A
Exp3_C59_GB4,59,Control,C
Exp3_C59_M13,59,Control,C
Exp3_C59_M35,59,Control,C
Exp3_C59_OF575,59,Control,C
Exp3_C60_GB23,60,Control,B
Exp3_C60_GB5,60,Control,B
Exp3_C60_GB6,60,Control,B
Exp3_C60_M30,60,Control,B
Exp3_C61_GB26,61,Control,C
Exp3_C61_GB8,61,Control,C
Exp3_C61_M27,61,Control,C
Exp3_C61_M32,61,Control,C
Exp3_C62_F1-A,62,Control,C
Exp3_C62_GB9,62,Control,C
Exp3_C62_M14,62,Control,C
Exp3_C62_M29,62,Control,C
Exp3_C62_OF331,62,Control,C
Exp3_C63_15-111,63,Control,A
Exp3_C63_GB10,63,Control,A
Exp3_C63_M18,63,Control,A
Exp3_C63_OF11,63,Control,A
Exp3_C63_OF125,63,Control,A
Exp3_C64_GB11,64,Control,C
Exp3_C64_GB16,64,Control,C
Exp3_C64_M15,64,Control,C
Exp3_C64_OF1,64,Control,C
Exp3_C64_OF96,64,Control,C
Exp3_C65_F32,65,Control,C
Exp3_C65_GB12,65,Control,C
Exp3_C65_GB17,65,Control,C
Exp3_C65_M19,65,Control,C
Exp3_C65_M28,65,Control,C
Exp3_C66_M26,66,Control,A
Exp3_C66_M8,66,Control,A
Exp3_C66_OF100,66,Control,A
Exp3_C66_OF654,66,Control,A
Exp3_C66_OF662,66,Control,A
Exp3_C67_GB18,67,Control,C
Exp3_C67_M4,67,Control,C
Exp3_C67_OF132,67,Control,C
Exp3_C67_OF354,67,Control,C
Exp3_C68_GB19,68,Control,C
Exp3_C68_M16,68,Control,C
Exp3_C68_OF656,68,Control,C
Exp3_C68_OF97,68,Control,C
Exp3_C69_GB20,69,Control,A
Exp3_C69_GB24,69,Control,A
Exp3_C69_M12,69,Control,A
Exp3_C69_M33,69,Control,A
Exp3_C69_OF512,69,Control,A
Exp3_C70_F61,70,Control,C
Exp3_C70_GB14,70,Control,C
Exp3_C70_GB21,70,Control,C
Exp3_C70_M17,70,Control,C
Exp3_C70_M20,70,Control,C
Exp4_C51_15-431,51,Control,A
Exp4_C51_M35,51,Control,A
Exp4_C51_M4,51,Control,A
Exp4_C51_M8,51,Control,A
Exp4_C51_UK36,51,Control,A
Exp4_C52_AE3,52,Control,C
Exp4_C52_GB13,52,Control,C
Exp4_C52_M36,52,Control,C
Exp4_C52_OF657,52,Control,C
Exp4_C53_F12,53,Control,A
Exp4_C53_GB25,53,Control,A
Exp4_C53_GB3,53,Control,A
Exp4_C53_M6,53,Control,A
Exp4_C53_M9,53,Control,A
Exp4_C54_AE5,54,Control,B
Exp4_C54_GB10,54,Control,B
Exp4_C54_GB18,54,Control,B
Exp4_C54_GB9,54,Control,B
Exp4_C54_M7,54,Control,B
Exp4_C55_15-349,55,Control,C
Exp4_C55_GB14,55,Control,C
Exp4_C55_GB16,55,Control,C
Exp4_C55_GB26,55,Control,C
Exp4_C55_S503,55,Control,C
Exp4_C56_GB15,56,Control,A
Exp4_C56_GB19,56,Control,A
Exp4_C56_GB2,56,Control,A
Exp4_C56_M13,56,Control,A
Exp4_C56_OF654,56,Control,A
Exp4_C57_GB17,57,Control,C
Exp4_C57_GB21,57,Control,C
Exp4_C57_GB4,57,Control,C
Exp4_C57_M11,57,Control,C
Exp4_C57_M17,57,Control,C
Exp4_C58_GB8,58,Control,C
Exp4_C58_M12,58,Control,C
Exp4_C58_M14,58,Control,C
Exp4_C58_M2,58,Control,C
Exp4_C58_M26,58,Control,C
Exp4_C59_M15,59,Control,B
Exp4_C59_M18,59,Control,B
Exp4_C59_M20,59,Control,B
Exp4_C59_M23,59,Control,B
Exp4_C59_M30,59,Control,B
Exp4_C60_M16,60,Control,A
Exp4_C60_M19,60,Control,A
Exp4_C60_M21,60,Control,A
Exp4_C60_M28,60,Control,A
Exp4_C60_M31,60,Control,A
Exp4_C61_M24,61,Control,C
Exp4_C61_M29,61,Control,C
Exp4_C61_M3,61,Control,C
Exp4_C61_M32,61,Control,C
Exp4_C61_M33,61,Control,C
Exp4_C62_GB22,62,Control,C
Exp4_C62_M34,62,Control,C
